Benchmark,TotalMiss,FoundInL1,FoundInSameSEL1,FoundInL1ButNotInL2,Found In L1,FoundInSameSEL1,FoundInL1ButNotInL2
mt,288512,125902,36065,107918,0.436383929,0.125003466,0.374050299
mm,4893575,3354113,2281626,1699834,0.685411586,0.466249317,0.347360365
km,3539645,1847947,1667825,1032930,0.522071281,0.471184257,0.2918174
st,1228032,709550,245350,590795,0.57779439,0.199791211,0.481090884
pr,3820757,3111300,1528338,1797080,0.814315069,0.400009213,0.470346583
spmv,3541513,2865236,1260299,2108224,0.809042915,0.35586457,0.595289076
flw,16294160,15450764,14156270,8,0.948239369,0.868794096,4.90973E-07
fir,71157,32273,14118,0,0.453546383,0.198406341,0
sc,1422,913,598,0,0.642053446,0.420534459,0
bs,192376,101432,92896,0,0.527259118,0.482887678,0