Benchmark,Baseline(L1),Prefetcher(L1),Probing(L1),Valkyrie(L1),RatioBaseline(L1),RatioPrefetcher(L1),RatioProbing(L1),RatioValkyrie(L1)
mt,0.092804,61.57,17.5,63.5,0.00092804,0.6157,0.175,0.635
mm,38.68,67.81,80.1,81.84,0.3868,0.6781,0.801,0.8184
km,67.24,79.1,83.64,87,0.6724,0.791,0.8364,0.87
st,33.84,40.38,51,52,0.3384,0.4038,0.51,0.52
pr,55.96,71.51,80.58,82.52,0.5596,0.7151,0.8058,0.8252
spmv,10.84,80.01,53.13,85.03,0.1084,0.8001,0.5313,0.8503
flw,74.65,79.074,88,92,0.7465,0.79074,0.88,0.92
fir,99.3,99.3,99.3,99.3,0.993,0.993,0.993,0.993
sc,99.9,99.9,99.9,99.9,0.999,0.999,0.999,0.999
bs,100,100,100,100,1,1,1,1
,,,,,,,,
,,,,,,,,
,,,,,0.167496933,0.669565274,0.58166385,0.763881305