Benchmark,Baseline,LBPU,LTCU,Valkyrie,Speedup(Prefetch),Speedup(Probing),Speedup(Valkyrie)
mt,0.0113,0.00796,0.00931,0.0073,1.41959799,1.213748657,1.547945205
mm,0.1568,0.1107,0.1013,0.0929,1.416440831,1.547877591,1.687836383
km,0.1002,0.0777,0.0391,0.0417,1.28957529,2.562659847,2.402877698
st,0.0451,0.0429,0.0336,0.032,1.051282051,1.342261905,1.409375
pr,0.1012,0.0845,0.0572,0.0527,1.197633136,1.769230769,1.920303605
spmv,0.1122,0.0316,0.0607,0.02903,3.550632911,1.848434926,3.864967275
flw,0.0643,0.0545,0.0394,0.03273,1.179816514,1.631979695,1.964558509
fir,0.00494,0.00494,0.00494,0.00494,1,1,1
bs,0.0763,0.0763,0.0763,0.0763,1,1,1
sc,0.000839,0.000839,0.000839,0.000839,1,1,1
,,,,,,,
,,,,,,,
,,,,,1.453054733,1.658330165,2.002247845